address,city,state,zip_code,phone,store_url
102 1st Ave,New York,NY,10009,(212) 477-9171,https://www.mcdonalds.com/us/en-us/location/ny/new-york/102-1st-ave/4020.html
151 W 34th St,New York,NY,10001,(212) 594-1964,https://www.mcdonalds.com/us/en-us/location/ny/new-york/151-w-34th-st/25055.html
904 Manhattan Ave,Brooklyn,NY,11222,(347) 315-0002,https://www.mcdonalds.com/us/en-us/location/ny/brooklyn/904-manhattan-ave/2678.html
3458 Whittier Blvd,Los Angeles,CA,90023,(323) 263-2559,https://www.mcdonalds.com/us/en-us/location/ca/los-angeles/3458-whittier-blvd/1136.html
5008 N Figueroa St,Los Angeles,CA,90042,(323) 982-1581,https://www.mcdonalds.com/us/en-us/location/ca/los-angeles/5008-n-figueroa-st/26929.html
267 Broadway,Brooklyn,NY,11211,(718) 302-3177,https://www.mcdonalds.com/us/en-us/location/ny/brooklyn/267-broadway/21402.html
1625 Wilshire Blvd,Los Angeles,CA,90017,(213) 321-8398,https://www.mcdonalds.com/us/en-us/location/ca/los-angeles/1625-wilshire-blvd/25706.html
395 Flatbush Ave Exten,Brooklyn,NY,11201,(347) 315-3511,https://www.mcdonalds.com/us/en-us/location/ny/brooklyn/395-flatbush-ave-exten/4025.html
262 Canal St,New York,NY,10013,(212) 941-5823,https://www.mcdonalds.com/us/en-us/location/ny/new-york/262-canal-st/4682.html
1310 E Olympic Blvd,Los Angeles,CA,90021,(213) 880-6034,https://www.mcdonalds.com/us/en-us/location/ca/los-angeles/1310-e-olympic-blvd/7037.html
4011 S Central,Los Angeles,CA,90059,(213) 321-7348,https://www.mcdonalds.com/us/en-us/location/ca/los-angeles/4011-s-central/13788.html
3737 Soto St,Vernon,CA,90058,(310) 757-1414,https://www.mcdonalds.com/us/en-us/location/ca/vernon/3737-soto-st/11839.html
2224 N Figueroa St,Los Angeles,CA,90065,(323) 223-3659,https://www.mcdonalds.com/us/en-us/location/ca/los-angeles/2224-n-figueroa-st/11377.html
39 Union Sq W,New York,NY,10003,(212) 645-9079,https://www.mcdonalds.com/us/en-us/location/ny/new-york/39-union-sq-w/2702.html
167 Chambers St (Chambers & Greenwich),New York,NY,10013,(212) 608-2405,https://www.mcdonalds.com/us/en-us/location/ny/new-york/167-chambers-st-chambers--greenwich/11163.html
4166 Melrose Ave,Los Angeles,CA,90029,(323) 906-3971,https://www.mcdonalds.com/us/en-us/location/ca/los-angeles/4166-melrose-ave/23607.html
695 S Western Ave,Los Angeles,CA,90005,(213) 384-6414,https://www.mcdonalds.com/us/en-us/location/ca/los-angeles/695-s-western-ave/6999.html
325 Grove St,Jersey City,NJ,07303,(201) 434-9051,https://www.mcdonalds.com/us/en-us/location/nj/jersey-city/325-grove-st/13654.html
2810 South Figueroa St,Los Angeles,CA,90007-3257,(213) 321-6917,https://www.mcdonalds.com/us/en-us/location/ca/los-angeles/2810-south-figueroa-st/3358.html
1660 Venice Blvd,Los Angeles,CA,90006,(323) 733-8697,https://www.mcdonalds.com/us/en-us/location/ca/los-angeles/1660-venice-blvd/25642.html
336 E 23rd St,New York,NY,10010,(212) 228-5529,https://www.mcdonalds.com/us/en-us/location/ny/new-york/336-e-23rd-st/2241.html
26 E 23rd St,New York,NY,10010,(646) 682-9277,https://www.mcdonalds.com/us/en-us/location/ny/new-york/26-e-23rd-st/33536.html
724 Broadway,New York,NY,10003,(212) 529-9660,https://www.mcdonalds.com/us/en-us/location/ny/new-york/724-broadway/10407.html
686 Avenue Of The Americas,New York,NY,10010,(212) 604-0621,https://www.mcdonalds.com/us/en-us/location/ny/new-york/686-avenue-of-the-americas/17480.html
490 8th Ave,Manhattan,NY,10001,(917) 965-2018,https://www.mcdonalds.com/us/en-us/location/ny/manhattan/490-8th-ave/3078.html
4000 S Figueroa St,Los Angeles,CA,90037,(424) 944-3265,https://www.mcdonalds.com/us/en-us/location/ca/los-angeles/4000-s-figueroa-st/22570.html
160 Broadway,New York,NY,10038,(212) 385-2066,https://www.mcdonalds.com/us/en-us/location/ny/new-york/160-broadway/10528.html
480 3rd Ave,New York,NY,10016,(212) 532-8186,https://www.mcdonalds.com/us/en-us/location/ny/new-york/480-3rd-ave/2813.html
541 6th Ave,New York,NY,10011,(212) 463-8869,https://www.mcdonalds.com/us/en-us/location/ny/new-york/541-6th-ave/2968.html
428 Grand St,Jersey City,NJ,07303,(551) 529-4053,https://www.mcdonalds.com/us/en-us/location/nj/jersey-city/428-grand-st/10074.html
404 E 14th St,New York,NY,10009,(212) 598-0045,https://www.mcdonalds.com/us/en-us/location/ny/new-york/404-e-14th-st/13064.html
197 12th St,Jersey City,NJ,07310,(201) 763-9994,https://www.mcdonalds.com/us/en-us/location/nj/jersey-city/197-12th-st/36171.html
2020 W Olympic Blvd,Los Angeles,CA,90006,(213) 321-6974,https://www.mcdonalds.com/us/en-us/location/ca/los-angeles/2020-w-olympic-blvd/4589.html
1210 S Soto St,Los Angeles,CA,90023-2616,(310) 757-0995,https://www.mcdonalds.com/us/en-us/location/ca/los-angeles/1210-s-soto-st/4844.html
234 Washington Street,Hoboken,NJ,07030,(201) 798-2078,https://www.mcdonalds.com/us/en-us/location/nj/hoboken/234-washington-street/3876.html
208 Varick St,New York,NY,10014,(646) 483-9817,https://www.mcdonalds.com/us/en-us/location/ny/new-york/208-varick-st/23318.html
3868 E 3rd St,Los Angeles,CA,90063,(323) 265-3029,https://www.mcdonalds.com/us/en-us/location/ca/los-angeles/3868-e-3rd-st/14473.html
1716 Marengo St,Los Angeles,CA,90033-1315,(323) 221-4980,https://www.mcdonalds.com/us/en-us/location/ca/los-angeles/1716-marengo-st/1304.html
